var-1,var-2,var-3,var-4,var-5,Common,English Translated
riayat,reyat,,,,riayat,attention
talluqaat,Talluqat,taluqat,talukaat,,talluqaat,relations
akas,aqs,aks,,,aqs,opposite
rehte,rehti,rahiti,rahite,,rahiti,poverty
daulat,dolat,,,,dolat,wealth
bandishon,bndishon,bandshon,bundishoun,bundesho,bndishon,obstacles
hajat,hajjat,,,,hajat,need
zayadati,zayadate,ziydati,ziyadate,,zayadati,excess
Farahmi,farhaami,farhame,farhaame,Farhami,farhami,grant
pighlty,pighilty,,,,pighlty,melts
hena,henaa,hina,,,hina,henna
karna,kerna,krna,krnaa,,karna,do
jaanta,janta,janita,jaanita,jnta,janta,knows
itnay,itney,itny,iteny,etny,itny,so many
nataij,,,,,nataij,results
wese,wesi,wisi,,,wesi,such
Teer,ter,,,,Teer,arrow
uskay,uskey,usky,oskay,,uskay,his/her
majbore,majbori,majboori,mjbori,,majbore,helpless
Kaiser,kayser,kaisir,kaisar,,kayser,how
nusrat,,,,,nusrat,victory
saraha,suraaha,,,,saraha,praised
gaunga,gaonga,,,,gounj,echo
sharmindagi,sharmndagi,,,,sharmindagi,embarrassment
hind,,,,,hind,India
tmsey,tumsy,tumsay,tmsy,,tumsy,from you
shor,shoor,,,,shor,noise
yahod,,,,,yahod,Jew
kitabi,kitabe,,,,kitabi,bookish
sahel,sahil,saahil,,,sahil,shore
Shar,shur,shr,,,Shar,evil
waqea,waqey,waqiye,wakae,wakaee,waqea,incident
gavara,gawara,gavaara,gawaara,gawarra,gavara,bearable
ghumaya,ghoomaya,ghomaya,,,ghumaya,made to roam
badunwani,badunwane,,,,badunwani,disobedience
aamadgi,amadgi,,,,amadgi,arrival
bnta,bntaa,banta,bantaa,,banta,becomes
jisko,jsko,,,,jisko,to whom
talaash,talash,,,,talash,search
roh,rooh,,,,rooh,soul
auhdey,uhidy,uhiday,,,uhiday,principles
dhannewad,dhanewad,dhanevad,dhanywad,,dhanewad,thank you
guldasta,guldastaa,,,,guldasta,bouquet
kaza,kazza,kazaa,qaza,,kaza,fate
akherat,akhirat,akhrat,akhriat,aakhirat,akhirat,afterlife
Sunanay,sunany,sunay,,,Sunanay,to tell
maajry,moajry,majry,,,maajry,wages
Islahi,islaahi,islaahe,eslahi,,Islahi,corrective
horahi,horhe,horahe,horhi,,horahi,happening
Serparsti,surparasti,sarperste,serparste,,sarperste,humble
anasir,annasir,,,,anasir,elements
fahasha,fashaasha,,,,fahasha,indecency
pakhton,pakhtoon,pakhtun,,,pakhton,Pakhtuns
Kashaf,kashuf,kashaif,,,Kashaf,revelation
jalaya,jalaaya,,,,jalaya,burnt
Ibrar,ibraar,,,,ibraar,acceptance
haripur,harepur,,,,haripur,a place name
hoor,,,,,hoor,houri (heavenly maiden)
karlate,krleti,karliti,karlete,karleti,krleti,do
tabqat,tabkaat,tabikaat,,,tabqat,classes
inqalab,inqelab,Inqilab,inqilaab,enqlaab,inqalab,revolution
tajurbay,tajurbe,tajirbay,,,tajurbay,experiences
Zameendaar,Zamindar,zameendar,,,Zameendaar,landlord
saiasat,saisat,syasat,siasat,siasiat,saiasat,politics
jalny,jlny,jalinay,,,jalny,burning
oladon,olaadon,ouladoun,oulaadoun,,oladon,offspring
aashna,ashina,ashna,aashina,,ashina,familiar
ghuzarti,ghuzarte,guzaarte,guzarte,guzarti,ghuzarte,pass by
chawal,chawl,chawel,chaawal,chawul,chawal,rice
laein,laen,laain,layin,laey,laein,bring
hootay,hotai,hotay,hotey,hoty,hotai,happen
hazir,haazir,haazr,hazer,,hazir,present
Gumnaam,gumnam,,,,Gumnaam,anonymous
madakhlat,mudakhlit,,,,madakhlat,admission
toot,tot,tut,,,toot,broken
dauran,douran,doran,,,doran,during
rawani,rawane,,,,rawani,smoothness
sumameen,sumamen,,,,sumameen,very fine
pasad,pasand,pasnd,passand,pusand,pasand,liked
Peshawar,Peshawer,,,,Peshawar,a city in Pakistan
tera,teraa,,,,tera,yours
phat,,,,,phat,tear
khoof,khoooof,khouf,khuaf,khuf,khoof,fear
amarat,imarat,imarrat,emarat,,imarat,building
rawaeay,rawayae,,,,rawaeay,manner
pagle,pagli,pugli,pugle,,pagli,crazy
Janaza,janaaza,Jenaza,,,Janaza,funeral
Faryad,faryaad,fryaad,,,Faryad,complaint
hefazat,hefazt,hifazat,hifazt,hifzt,hifazat,protection
taenati,tainaati,taainaati,tainati,tynati,taenati,mutual
taliaan,taaliyan,taalian,taliya,talliyaan,taliaan,claps
Java,javan,jawan,,,jawan,youth
khoud,khaod,,,,khoud,self
saboot,sabot,sabut,suboot,,saboot,evidence
Lagne,lagni,,,,lagni,to hit
qawaliyon,,,,,qawaliyon,genres
oy,oe,oi,,,oy,hey
kahny,kahinay,kahnay,kahney,kehny,kahinay,stories
shair,sher,,,,shair,poem
glas,glass,,,,glas,glass
kattar,kataar,qatar,,,kataar,queue
para,paara,parra,,,para,verse
ilhaq,ilhaaq,,,,ilhaaq,relevance
paristaron,parishtaroun,,,,paristaron,capitalists
bachion,bachiyoun,bachyon,bacheyoun,,bachion,girls
kahtye,kehty,kahtay,kahty,kehtay,kehty,say
Takrar,takraar,,,,Takrar,confrontation
hausly,hoslay,hosle,houslay,hauslay,hoslay,courage
saqafati,saqafti,,,,saqafati,cultural
kass,kuss,,,,kass,hard
taaleem,taleem,talem,talim,temeem,taleem,education
ganjy,ganjey,,,,ganjey,bald
daalte,dalty,daltay,daltey,daalty,daltay,immerse
Lehar,lahar,,,,Lehar,wave
lage,lagi,lgi,lge,,lage,felt
esko,isko,,,,isko,this
razakaar,razakar,,,,razakaar,volunteer
lutaf,lutf,,,,lutaf,pleasure
beizzat,bezat,beizat,,,beizzat,dishonored
pohnchaty,,,,,pohnchaty,reach
jagy,jaagy,jagey,,,jagy,places
kahte,kahti,kahite,kehte,Kehti,kahti,says
Jeetna,jetna,jitna,,,Jeetna,Win
wsawasy,waswasy,wasvasy,waswasay,wasvasay,wsawasy,balance
khare,khari,khri,,,khari,standing
qematein,,,,,qematein,values
katna,kaatna,kaatina,katina,,katna,cutting
aqwami,akwani,,,,aqwami,international
karishma,karishmaa,krishma,,,karishma,miracle
nazariya,nazirya,,,,nazariya,perspective
Insaaf,insaf,insf,,,Insaaf,Justice
majmooa,majmua,mujmuaa,,,majmooa,collection
haroof,harof,haruf,harouf,haroff,haruf,letters
nakarah,nakara,,,,nakara,empty
zalimana,zaalimana,zalmana,,,zalimana,oppressive
azmaany,azmaney,,,,azmaany,testing
machata,,,,,machata,swimming
taqriri,takreere,,,,taqriri,speeches
Tanasub,,,,,Tanasub,proportion
sharit,shrt,shart,,,shart,condition
hadsati,hadsate,haadsati,haadsate,,haadsati,accidental
baal,bal,,,,baal,hair
hayaati,hayate,hayati,hayaate,,hayati,life
Haider,hader,haidr,Hyder,,Haider,Haider
hamare,hamari,humari,humare,hmare,hamari,our
kisam,kisim,kism,qisim,qism,kisam,type
faisala,faisla,faislaa,fesla,,faisala,decision
banayega,banega,banyga,banayga,,banayega,will make
shafqat,shafqt,,,,shafqat,compassion
naha,nha,,,,naha,bath
peenay,penay,,,,penay,drinking
Tilawat,tallawat,talawet,,,Tilawat,Recitation
kute,kuti,kutte,kutti,,kute,dogs
naara,nara,,,,nara,slogan
qabil-e-zikar,,,,,qabil-e-zikar,worthy of mention
qurbaan,qurban,kurban,,,qurban,sacrifice
hamla,humla,hmla,hamlaa,,hamla,attack
chhahiyay,chhaiye,chahiye,,,chahiye,need
Mahdood,mahdod,mahdud,mhdood,,Mahdood,Limited
Maah,mah,,,,Maah,Month
soshal,soshel,,,,soshal,social
jaghain,jughain,jgahain,jghain,,jaghain,places
goron,goroun,,,,goron,whites
pandrah,pundrah,pundra,,,pandrah,fifteen
delaty,dilaty,delatay,delatey,dilatay,dilaty,providing
shaadi,shaadii,shaddi,shadi,shdi,shadi,wedding
parha,prha,,,,parha,read
choti,chooti,chotii,chote,,chote,short
manty,manity,mnty,,,manty,believe
bachpan,bchpn,bchpen,bachpen,bachpn,bachpan,childhood
hela,heela,,,,heela,a trap
dalliya,daliya,daliyaa,daleya,,dalliya,going
jakar,jaker,jakr,jaakar,,jakar,after
nizam,naizam,nizaam,nezam,nazam,nizam,system
khol,kholl,,,,khol,open
Hali,haali,haalhe,,,Hali,current
ku,kiun,q,,,ku,why
aazmane,azmani,azmany,,,azmany,tried
girty,girtey,,,,girty,falling
ladke,ladki,larke,larki,lirki,larki,girl
jhunjolaey,jhanjolay,,,,jhanjolay,rattles
rooti,roti,rote,,,rooti,bread
bantay,banty,,,,bantay,being distributed
hojana,hojaana,,,,hojana,becomes
ala,alaaa,alla,Allaaaaa,,ala,higher
dastiyab,Dastyab,dasteyab,dstiyab,destiyab,dastiyab,available
Faisalabad,Faislabad,,,,Faisalabad,Faisalabad
sarkein,Sarken,sarkain,,,sarkein,rays
khailariyon,khilariyoun,khlariyoun,khilaaryo,khaelariyoun,khilariyoun,players
Ouchalna,uchalna,,,,uchalna,jump
rolany,rulanay,rulany,,,rolany,roller
qasba,kasiba,,,,qasba,town
khandani,khandane,khandni,,,khandani,hereditary
maqtol,maktool,maqtool,,,maqtol,slain
arasta,arastah,arastaa,,,arasta,area
jitwain,jeetwain,jeetwn,,,jitwain,to win
raftari,raftaari,raftaare,,,raftari,speed
Lutanay,lutny,lotanay,lotany,loutanay,lotany,returning
Hakomat,hukomat,hkomat,Hakumat,hukumat,Hakomat,government
thaky,thakay,,,,thaky,tired
manwane,manwany,munwany,,,manwany,convincing
aktdadar,aktdaar,iqtadaar,iktdaar,eqtidaar,eqtidaar,power
Tahweel,tehwil,tahwel,tahveel,,Tahweel,Transformation
kardena,kardina,kardyna,kerdena,krdena,kardena,to do
kachra,kachraa,,,,kachra,garbage
nasal,nasl,,,,nasal,race
chalate,chalati,,,,chalati,running
oska,uska,,,,uska,its
safaratkaar,saffaratkar,safaratkar,,,saffaratkar,agent
hasty,hansty,hunsty,husty,hassty,hansty,laughing
lautay,loutay,lotein,loutain,lautey,lautay,returning
Siyahati,siahati,siyahate,,,Siyahati,tourism
bahimi,bahimmi,baahimi,,,bahimi,mutual
sawad,sawaad,,,,sawad,black
azaadi,azadi,,,,azadi,freedom
inkishaf,inkashaaf,,,,inkishaf,revelation
dastoorsaze,dastursazi,dastursaxi,,,dastursazi,procedure
bando,bandon,bundon,bndon,banadu,bando,band
nikalo,,,,,nikalo,bring out
Naz,naaz,,,,naaz,pride
Roka,,,,,Roka,stopped
ghuzara,guzara,ghuzaraa,,,guzara,livelihood
lijiye,Lijye,lejiy,lejy,,lijiye,please take
kabse,kabsy,kabsay,,,kabsy,from every direction
Gulistan,gulshan,,,,Gulistan,garden
pchle,pichle,pichli,phichle,,pichle,last
dhoondny,dhundny,dhoondney,dhoondnay,,dhoondny,searching
julty,jultay,,,,julty,combined
aadmiyon,admiyo,,,,admiyo,people
rukne,rukni,,,,rukne,stopping
deker,dykar,dykr,dekar,deykar,dekar,giving
khelariyon,khelaryon,khilariyon,khilariuo,khilaryon,khelaryon,players
joriyan,joryan,,,,joriyan,pairs
peath,peeth,peth,,,peeth,back
machli,machle,ma6li,,,machli,fish
hojata,hojta,,,,hojata,becomes
Faryadi,fryaade,faryade,,,Faryadi,complaining
hafta,hufta,haftaa,,,hafta,week
kisnay,kisney,kisne,kisny,,kisnay,who
Tbhi,tabhe,tabhee,tabhi,tabi,Tbhi,then
matti,mati,matte,,,matti,clay
Gurday,gurdy,gurdey,,,Gurday,kidneys
pooray,poory,poray,pory,puray,pory,complete
sabak,Sabaq,,,,Sabaq,lesson
tajarba,tajriba,tajariba,,,tajarba,experience
paisa,pesa,,,,paisa,money
alawa,ilawa,alwa,ilava,elawa,ilawa,besides
lagan,lagaan,laggan,,,lagan,effort
Farig,farigh,frig,,,Farig,free
kheench,khench,khech,,,khench,pull
zayada,zayadah,ziyda,ziyada,ziyadah,zayada,more
samaghtay,samjty,samajhitay,samajhty,,samajhitay,understandings
das,dus,dass,,,das,ten
mahreen,mahren,,,,mahren,wives
Naik,neak,neik,nek,,Naik,good
banani,bnani,bananii,banane,,banane,making
samjhongi,,,,,samjhongi,I will understand
aiteraaf,aiteraf,Aitiraf,Aitraf,ataraf,Aitraf,confession
Habs,habbs,,,,Habs,captivity
riwayati,riwayeti,,,,riwayati,traditional
rehae,rehai,rehayi,rihaai,,rehai,relief
nazariyati,naziryaati,naziriyati,,,nazariyati,theoretical
kardetay,kardty,,,,kardty,do
Nazuk,naazuk,nazk,,,Nazuk,delicate
kahin,kahee,kaheen,kahein,kahen,kahin,somewhere
khidmat,khidmt,,,,khidmat,service
Takbeer,takber,,,,Takbeer,praise
fasaad,fasd,fasad,fussad,,fasad,corruption
nay,naye,nayi,,,nay,new
surangein,sorangain,,,,surangein,flags
pehene,Pehni,pahine,pahni,pehne,pehene,wearing
soobay,soobey,,,,soobay,provinces
manay,manayen,manayi,,,manay,celebrating
Khatra,khatraa,khateraa,,,Khatra,danger
aezazaat,aezazat,aizazat,aizaazat,ezazat,aizazat,respect
leja,lejaa,,,,leja,take
rakhne,rakhini,,,,rakhne,keeping
alaikum,alikum,alekm,alekum,alequm,alaikum,upon you
nahai,nahay,,,,nahai,bath
awwaleen,awwalin,awalien,,,awalien,first
kunji,kunje,,,,kunji,key
kursiyon,kursiyoun,kurssiyon,kursyoun,kursion,kursiyon,chairs
khairiyat,kharyat,kheriyat,,,khairiyat,well-being
lafzon,lafzoon,lafzun,,,lafzon,words
taked,takeed,taaked,taqeed,,takeed,assertion
Kharji,kharije,kharje,khariji,kharjee,Kharji,external
sedhy,seedhay,,,,sedhy,straight
wasta,wastaa,,,,wasta,means
bagairti,begairati,begerti,bagairte,bagarite,bagairte,without
shaooor,Shaoor,shaor,sha'oor,shaour,shaor,excitement
tabadley,tabbadlay,tabadlay,,,tabadley,changes
lahza,lahija,lahijaa,lihjaa,lehjaa,lahza,moment
nikhaar,nikhar,,,,nikhar,improvement
pasa,passa,,,,pasa,trap
phenane,,,,,phenane,applying
ghaty,ghaaty,ghaatey,ghatey,,ghaty,reductions
qediyon,quidyon,,,,qediyon,puzzles
lae,laae,,,,lae,bring
adbi,addbi,,,,adbi,literary
lazat,lazzat,,,,lazat,pleasure
villain,vilan,,,,villain,villain
gareeb,gareb,greeb,ghareb,ghreeb,gareeb,poor
laygae,leagai,Leagui,,,laygae,apply
pukarte,pukarti,,,,pukarti,calling
Aazad,azad,azaad,,,azad,free
hafsa,hafsaa,,,,hafsa,Hafsa
rahna,rahina,rehina,rehna,,rahna,to stay
Naqab,nakab,,,,Naqab,veil
Tulba,tulbah,,,,tulbah,students
mahina,mahena,Maheena,,,mahina,month
awal,awwal,,,,awal,first
paraye,,,,,paraye,others'
utarte,uterti,,,,utarte,descending
Janbaz,janbaaz,janzab,,,Janbaz,brave
ibraat,ibrat,ibrut,,,ibrat,lesson
baras,barus,buras,,,baras,rain
bandari,bndari,bundari,bandarii,banderi,bundari,monkeys
kashish,kashesh,,,,kashish,attraction
tamashaiyon,tamashayon,,,,tamashayon,sights
wasihat,wasiyat,waseyat,,,wasihat,will
tehwar,tehwaar,,,,tehwar,event
akelay,akeley,aklay,,,akelay,alone
nibhatay,nibhatey,nibhaty,,,nibhatay,fulfill
khatraat,khateraat,khatrat,khaturat,,khatraat,dangers
jhankar,jhankaar,,,,jhankar,echo
paristar,parstaar,purstar,,,paristar,family
parakita,parakta,,,,parakita,parasite
qaidana,,,,,qaidana,prison-like
aafreen,afreen,afrenn,,,afreen,well done
usolon,usoolon,asoolon,,,asoolon,principles
simt,simit,,,,simt,direction
saalgira,salgirah,saligrah,salgira,slgira,salgirah,birthday
baad,bad,,,,bad,wind
payaray,peyary,piyary,peyaray,piyaary,peyary,beloved
adakar,,,,,adakar,performer
tarji,tarjih,tarjeeh,tarjeh,,tarjih,preference
jaadu,jado,jadu,jadoo,jaddo,jado,magic
karskti,karskte,karsukti,kursakti,krsakte,karskti,capability
karobaar,karobar,karubar,qarorbar,,karobar,business
ta,taa,,,,ta,to
charhty,charhtey,charhtay,,,charhtay,climbing
rehgai,rahgae,,,,rahgae,continue
mangwaliya,mangwaya,mangawaya,,,mangwaliya,demands
risalon,reshalon,risaloun,,,risalon,letters
khutba,khutiba,,,,khutba,sermon
wazahat,wazaht,,,,wazahat,explanation
laina,layna,Lena,Lenaa,lyna,laina,take
saka,sukka,sakka,,,saka,capable
narmi,nurmi,narme,,,narmi,gentleness
jhanjhor,jhanjhur,,,,jhanjhor,twist
Sarfarosh,,,,,Sarfarosh,brave
lekhte,likhti,likhte,,,likhte,write
samjhegi,,,,,samjhegi,will understand
peya,peeya,,,,peya,result
jahunmio,jahanimio,jahanimyo,,,jahunmio,spectators
kheelon,khailon,khailo,khelon,khilon,khailo,play
nabena,naabena,nabeena,nabina,,nabena,unknown
Rajniti,raajniti,rajnete,,,Rajniti,politics
qatilana,katilana,,,,qatilana,murderous
ijazaat,ijazat,ijazit,ijazt,ijazut,ijazat,permission
nukta,nuqta,,,,nuqta,point
hijrat,hijret,hejret,,,hijrat,migration
umeedein,umeeden,umeedain,umedain,umeedy,umeedein,hopes
nuswar,naswar,,,,naswar,snuff
karwao,karwaon,krwao,krwaoo,kerwao,karwao,do
tah,tay,teyh,,,tah,salt
Paida,paidaaa,peida,piada,peda,Paida,born
parhani,parhni,,,,parhani,wearing
samaey,samay,,,,samaey,occasions
bhandty,bandhty,baandhty,,,bandhty,connecting
ghalazat,gilazat,galazat,gelazat,ghlazat,gilazat,resentment
ronak,ronk,,,,ronak,brightness
ajao,ajaoo,aajao,,,ajao,come
qurani,,,,,qurani,Quranic
takraye,takraay,,,,takraye,collide
aazmaai,aazmai,,,,aazmai,trial
mansobe,mansoby,Mansoobay,mansoobe,,mansoby,assigned
ajeeb,ajeb,,,,ajeeb,strange
Kardar,kerdaar,kirdar,kirdaar,kerdar,kirdar,character
amaant,amanat,amant,amanut,,amanat,trust
daftar,Dafter,daftr,,,daftar,office
khasosi,khusosi,khosoosi,khasose,khasusi,khasosi,special
girti,girte,,,,girti,falling
iskay,isky,esky,,,isky,his
waqayat,waqeaat,waqeyaat,waqeyat,Waqiat,waqayat,events
shayari,shayri,shairi,shaiyri,shiayri,shayari,poetry
kabil,kabl,kabel,Qabail,,kabil,capable
pehnkay,pahnkay,pahinky,pehnky,pehnnkay,pehnkay,throw
paonga,paogha,,,,paonga,will get
hga,hoga,honga,huga,,hoga,will be
kehde,kahdi,kahde,,,kehlane,called
seylab,saylaab,seylaab,,,seylab,flood
neaz,Niaz,niyaz,,,Niaz,necessity
soorat,sorat,surat,,,soorat,form
suroor,suror,,,,suroor,happiness
Rahegi,raheingi,rahenge,rahengi,rhygi,Rahegi,will remain
kaat,kat,Kant,,,kat,cut
Sharah,,,,,Sharah,explanation
gora,goura,,,,gora,fair
Luqma,lukima,lukma,luqmaa,,Luqma,morsel
Qaflay,kafilay,,,,Qaflay,groups
nasheeley,nashely,nashelly,nashelay,,nashely,intoxicated
Amla,amila,,,,Amla,community
shearon,shairon,shayaron,shayron,,shearon,lions
totka,totika,totikaa,,,totika,parrot
tehrirein,tahreerain,,,,tehrirein,compositions
banaein,banaien,Banain,baneyn,,Banain,construct
numaya,nimaya,,,,numaya,prominent
Bakwas,bakwass,bakwaas,baqwas,baqwaas,Bakwas,nonsense
hadait,hadayat,hidayat,Hidyat,hedayat,hidayat,guidance
Maaaon,maon,maaoun,maaon,,maon,mothers
naamzad,naamzd,namzad,namzed,,naamzad,offspring
poochun,,,,,poochun,ask
hawala,hawaala,,,,hawala,reference
Fasila,fasla,,,,Fasila,distance
chalau,chalaon,chalaun,chlaaon,,chalaon,run
zimedariyon,zimmedariyon,zimedariyo,zimedariyoun,zimmedariyo,zimedariyon,responsibilities
Shahar,shaher,Sheher,shehr,,Shahar,city
sarbarahi,sarbarahe,,,,sarbarahi,leadership
taqrib,takreeb,takreb,,,taqrib,approximation
JazakAllah,,,,,JazakAllah,Thank you
Sidiqi,sidiqui,,,,Sidiqi,truthful
jarahe,jarahi,jaarahi,jarhe,jrhi,jarahi,surgery
farmaishi,farmaishe,frmaish,frmaesh,farmaiysh,farmaishe,requests
Khadsha,khadisha,khdsha,,,khadisha,prostitute
riyazi,riyaze,,,,riyazi,mathematical
qasbon,kasibon,,,,qasbon,arrangements
pehnogi,pahngi,pahingi,pehngi,pehnngi,pehnogi,wear
Fir,fr,pher,,,Fir,again
khufia,khufiya,khofiya,khufea,,khufiya,secret
qabil,qabill,qabl,kabal,,qabil,capable
naikiyan,naikeyan,nekeyan,nakyan,nekiyan,naikiyan,virtues
Tehfuzat,tahafuzat,tahafzaat,tahfuzaat,,Tehfuzat,protections
rozana,Roxana,,,,rozana,daily
faislo,faislon,,,,faislon,decisions
pooora,Poora,pura,pora,,pora,entire
daikha,dakha,dekha,deikha,dehka,daikha,seen
lay,ley,ly,,,lay,take
toly,tolay,,,,toly,team
hadood,hadud,hadod,haddud,hudood,hadud,boundaries
wabasta,wabista,wabusta,wabesta,,wabasta,attached
Qabzay,Qabzey,kabzay,kabizay,,Qabzay,grips
sarson,sarsoun,,,,sarson,mustard
tehzeeb,tehzib,,,,tehzeeb,culture
naukriyan,nokeryan,nokiriyan,,,nokeryan,craftsmen
ubhar,ubharr,obhar,,,ubhar,rise
sabit,saabit,,,,sabit,prove
mangy,mangay,mngay,,,mangy,beg
rokte,rokite,rokti,,,rokte,stop
baghawaton,bagawaton,bagawatoun,,,bagawaton,rebellions
sachi,sache,suchi,,,sachi,TRUE
ishrafia,ashrafiyan,isharfian,,,ashrafiyan,nobility
daina,dena,denaa,dainaa,,daina,give
jawairia,javeria,,,,jawairia,adventurous
alehda,alehdah,Alhayda,alyhda,,alehda,separate
Shatranj,shatreng,,,,Shatranj,chess
rkay,rkhen,rukhain,,,rkhen,keep
shuruat,shuruwaat,shuruwat,shuroat,,shuruat,beginning
zulam,zulim,Zulm,Zulum,zolam,zulam,oppression
sahafat,sahafut,,,,sahafat,journalism
wossat,wosat,,,,wossat,mean
Ishaq,ishiq,isheq,ishq,Ishhaq,ishq,love
tadaad,Tadad,Taddad,taadaad,,tadaad,number
Soney,sony,sonay,,,sony,sleep
dedenge,dydengy,daydengy,deydengy,,dedenge,will give
shurka,shuruka,,,,shurka,thanks
oye,ooye,,,,oye,hey
kothyan,,,,,kothyan,thorns
faham,fahm,,,,faham,understanding
adakarana,,,,,adakarana,acting
alif,,,,,alif,alphabet
chipku,chipko,,,,chipko,stick
Latini,laatini,laatene,,,Latini,Latin
Kareemi,karemi,kareme,kareeme,karmi,Kareemi,generous
ispr,espr,ispur,,,ispr,on it
gaali,gaale,ghale,,,gaali,abuse
sasti,sastii,,,,sasti,cheap
prhlo,,,,,prhlo,read
Tarjuman,tarjumaan,terjuman,,,Tarjuman,translator
tmhe,tmhen,tmhin,tmhn,,tmhen,you
kaano,kaanoun,qanoon,qanun,kanoon,kaano,ears
ghuzarny,ghuzarney,guzarny,guzarney,guzaarney,guzarny,passing
Halaf,half,haluf,halaff,,Halaf,oath
shukariya,shukrea,shukria,shukriya,Shukrya,shukariya,thank you
kashtiyon,kashtiyoun,kashtyoun,,,kashtiyon,boats
kacha,kachaa,kchaa,,,kacha,raw
baithe,baithi,bethi,bathi,,baithe,sit
jahazon,jahaazo,jahazoun,,,jahaazo,airplanes
pajama,pujama,pajaama,,,pajama,pajamas
perhi,parhi,,,,parhi,reading
lajna,lejana,layjana,,,lejana,take away
inaam,inam,enaam,enam,,inaam,reward
kaliya,kalia,kalya,,,kaliya,buds
auqaat,auqat,oqat,oqaat,Okat,oqaat,capability
zanjeron,zangeeron,,,,zanjeron,obstacles
taqseem,taqsim,takseem,takrem,taksim,taqseem,division
kaamo,kaamon,kaamu,kamo,,kaamo,tasks
kholta,kholtaa,,,,kholta,opens
giray,girray,Gray,Grey,,giray,fall
ghazi,ghaze,,,,ghazi,warrior
taqareeb,taqareb,,,,taqareeb,nearness
zawabit,zawabet,,,,zawabit,regulations
kch,kuch,ku6,kuxh,khch,kuch,some
